Season	Serie	Team	No	Player	Role	Born	Height	Nat. Sport.	Note
2010-2011	A2	Icos Crema	5	TOGUT ELISA	Spiker	1978	192	ITA	
2010-2011	A2	Icos Crema	7	FILIPOVICS ANITA	Middleblocker	1988	192	HUN	
2010-2011	A2	Icos Crema	8	MOLINENGO MICHELA	Libero	1978	162	ITA	
2010-2011	A2	Icos Crema	9	CAGNINELLI CLAUDIA	Spiker	1990	190	ITA	
2010-2011	A2	Icos Crema	10	PISANI VALENTINA	Middleblocker	1981	181	ITA	
2010-2011	A2	Icos Crema	11	MARC DIANA RAMONA	Spiker	1979	183	ITA	
2010-2011	A2	Icos Crema	12	DE VECCHI SARA	Spiker	1979	178	ITA	
2010-2011	A2	Icos Crema	13	SGHEDONI VALENTINA	Setter	1989	173	ITA	
2010-2011	A2	Icos Crema	15	FRATONI ALESSANDRA TEIXEIRA	Spiker	1981	183	ITA	
2010-2011	A2	Infotel Forl?	1	MORETTI JESSICA	Libero	1989	165	ITA	
2010-2011	A2	Infotel Forl?	2	SALVIA VALENTINA	Middleblocker	1990	185	ITA	
2010-2011	A2	Infotel Forl?	4	POLI TANIA	Spiker	1978	181	ITA	
2010-2011	A2	Infotel Forl?	5	KOVACIC NIKOLINA	Spiker	1986	180	CRO	until 21/01/2011
2010-2011	A2	Infotel Forl?	6	SCAIOLI SERENA	Libero	1991	165	ITA	from 06/02/2011
2010-2011	A2	Infotel Forl?	7	CAPONI MANUELA	Middleblocker	1979	186	ITA	
2010-2011	A2	Infotel Forl?	8	NOSEKOVA MARTINA	Spiker	1985	182	SVK	until 17/02/2011
2010-2011	A2	Infotel Forl?	9	LAGHI MARY GRACE	Setter	1986	167	ITA	
2010-2011	A2	Infotel Forl?	11	TOMASEVIC SANJA	Spiker	1980	185	SRB	from 11/02/2011
2010-2011	A2	Infotel Forl?	11	BOSCOSCURO MARTINA	Libero	1988	165	ITA	until 21/01/2011
2010-2011	A2	Infotel Forl?	12	WITTOCK JOLIEN	Spiker	1990	188	BEL	
2010-2011	A2	Infotel Forl?	13	ASSIRELLI FLAVIA	Middleblocker	1990	183	ITA	
2010-2011	A2	Infotel Forl?	15	MASOTTI CHIARA	Spiker	1990	180	ITA	
2010-2011	A2	Infotel Forl?	18	MURI ELISA	Setter	1984	178	ITA	
2010-2011	A2	Lavoro.Doc Pontecagnano	1	PASSARO GIUSY	Setter	1991	172	ITA	
2010-2011	A2	Lavoro.Doc Pontecagnano	2	SIBILIA MIRIANA	Libero	1992	162	ITA	
2010-2011	A2	Lavoro.Doc Pontecagnano	5	VINCI DENISE	Spiker	1994	178	ITA	
2010-2011	A2	Lavoro.Doc Pontecagnano	6	NARDINI DANIELA	Middleblocker	1982	182	ITA	
2010-2011	A2	Lavoro.Doc Pontecagnano	7	TENZA CHIARA	Spiker	1991	180	ITA	until 05/01/2011
2010-2011	A2	Lavoro.Doc Pontecagnano	8	ASTARITA GIUSY	Spiker	1988	183	ITA	
2010-2011	A2	Lavoro.Doc Pontecagnano	9	LO CASCIO ALICE	Spiker	1988	185	ITA	until 05/01/2011
2010-2011	A2	Lavoro.Doc Pontecagnano	10	ZANOTTI BEATRICE	Middleblocker	1976	186	ITA	
2010-2011	A2	Lavoro.Doc Pontecagnano	11	PETRUCCI ALESSANDRA	Setter	1983	184	ITA	
2010-2011	A2	Lavoro.Doc Pontecagnano	12	NAGY MARIANN	Spiker	1976	190	HUN	
2010-2011	A2	Lavoro.Doc Pontecagnano	13	PANUCCI JESSICA	Spiker	1992	180	ITA	
2010-2011	A2	Lavoro.Doc Pontecagnano	14	KUCEROVA MONIKA	Spiker	1983	185	CZE	
2010-2011	A2	Lavoro.Doc Pontecagnano	15	CORRER SARAH DAIANE MOREIRA	Spiker	1989	185	BRA	from 14/02/2011
2010-2011	A2	Lavoro.Doc Pontecagnano	16	LUNARDI DILETTA	Middleblocker	1979	180	ITA	from 01/03/2011
2010-2011	A2	Lavoro.Doc Pontecagnano	17	ZILIO ISABELLA	Libero	1983	174	ITA	
2010-2011	A2	Lavoro.Doc Pontecagnano	18	SORRENTINO LORENZA	Middleblocker	1992	180	ITA	
2010-2011	A2	MasterGroup Pane di Matera	1	LIGUORI ROBERTA	Spiker	1989	184	ITA	
2010-2011	A2	MasterGroup Pane di Matera	2	CACCIAPAGLIA GIORGIA	Libero	1987	170	ITA	
2010-2011	A2	MasterGroup Pane di Matera	3	MASINO SERENA	Setter	1983	178	ITA	
2010-2011	A2	MasterGroup Pane di Matera	4	BIAMONTE DANIELA	Spiker	1973	188	ITA	
2010-2011	A2	MasterGroup Pane di Matera	6	CARICATO DANIELA	Libero	1987	168	ITA	
2010-2011	A2	MasterGroup Pane di Matera	7	ROMAN? MARIA DEL ROSARIO	Middleblocker	1976	185	ITA	
2010-2011	A2	MasterGroup Pane di Matera	8	MONTEMURRO ROSSANA	Setter	1986	176	ITA	
2010-2011	A2	MasterGroup Pane di Matera	9	DON? MELISSA	Spiker	1982	180	ITA	
2010-2011	A2	MasterGroup Pane di Matera	10	MATTHES ANNE	Spiker	1985	182	GER	
2010-2011	A2	MasterGroup Pane di Matera	11	MAZZULLA NELLINA	Middleblocker	1980	181	ITA	
2010-2011	A2	MasterGroup Pane di Matera	12	BLUNDA MELANIA	Spiker	1986	186	ITA	
2010-2011	A2	MasterGroup Pane di Matera	17	MARULLI MONICA	Middleblocker	1975	197	ITA	
2010-2011	A2	RDM Pomezia	2	BRAGAGLIA ANTONELLA	Middleblocker	1973	184	ITA	
2010-2011	A2	RDM Pomezia	4	RUZZINI JOLE	Libero	1984	162	ITA	
2010-2011	A2	RDM Pomezia	5	CORJEUTANU MIRELA	Spiker	1977	192	ROM	
2010-2011	A2	RDM Pomezia	6	FANELLA SILVIA	Spiker	1983	178	ITA	
2010-2011	A2	RDM Pomezia	7	CASILLO LUISA	Middleblocker	1988	188	ITA	
2010-2011	A2	RDM Pomezia	8	SCARPELLINO DANIELA	Spiker	1980	180	ITA	
2010-2011	A2	RDM Pomezia	11	ZANIN VALERIA	Setter	1984	175	ITA	
2010-2011	A2	RDM Pomezia	12	DO CARMO BRAGA LUCIANA	Spiker	1979	185	BRA	
2010-2011	A2	RDM Pomezia	13	BALDINI VALENTINA	Setter	1992	177	ITA	
2010-2011	A2	RDM Pomezia	14	CHIHAB NABILA	Middleblocker	1984	188	ITA	
2010-2011	A2	RDM Pomezia	16	KRASTEVA ELITZA	Libero	1982	174	ITA	
2010-2011	A2	RDM Pomezia	17	MARI FRANCESCA	Setter	1983	182	ITA	from 16/01/2011
2010-2011	A2	Verona Volley Femminile	2	STACCHIOTTI MILENA	Middleblocker	1985	185	ITA	
2010-2011	A2	Verona Volley Femminile	3	ARIOLI GIULIA	Spiker	1989	183	ITA	
2010-2011	A2	Verona Volley Femminile	5	MAGNELLI ARIANNA	Middleblocker	1987	180	ITA	
2010-2011	A2	Verona Volley Femminile	6	ROSSINI JASMINE	Spiker	1992	180	ITA	
2010-2011	A2	Verona Volley Femminile	7	GENTILI FRANCESCA	Middleblocker	1990	186	ITA	
2010-2011	A2	Verona Volley Femminile	8	TRABUCCHI GLORIA	Setter	1989	175	ITA	
2010-2011	A2	Verona Volley Femminile	9	CREPALDI LAURA	Spiker	1982	183	ITA	
2010-2011	A2	Verona Volley Femminile	10	MARCONE BENEDETTA	Spiker	1993	179	ITA	
2010-2011	A2	Verona Volley Femminile	12	ALBERTI VALERIA	Libero	1984	175	ITA	
2010-2011	A2	Verona Volley Femminile	13	BERETTA SILVIA	Setter	1991	182	ITA	
2010-2011	A2	Verona Volley Femminile	14	CASTIGLIONE CARLA	Spiker	1989	190	ARG	
2010-2011	A2	Verona Volley Femminile	17	SHOPOVA NADEZHDA	Spiker	1984	186	BUL	
2010-2011	A2	Verona Volley Femminile	18	MOSCHINI MICHELA	Libero	1993	165	ITA	
2011-2012	A2	Acqua Paradiso Busnago	1	BRUNO BENEDETTA	Middleblocker	1984	192	ITA	
2011-2012	A2	Acqua Paradiso Busnago	2	STACCHIOTTI MILENA	Middleblocker	1985	185	ITA	
2011-2012	A2	Acqua Paradiso Busnago	3	COMI LETIZIA	Libero	1994	162	ITA	
2011-2012	A2	Acqua Paradiso Busnago	5	KIM MI NA	Setter	1984	176	ITA	
2011-2012	A2	Acqua Paradiso Busnago	7	LOMBARDO GILDA	Spiker	1989	180	ITA	
2011-2012	A2	Acqua Paradiso Busnago	8	RUBINI GIULIA	Spiker	1990	181	ITA	
2011-2012	A2	Acqua Paradiso Busnago	10	BONETTI MARIKA	Spiker	1984	178	ITA	
2011-2012	A2	Acqua Paradiso Busnago	11	BELL? GIULIA	Middleblocker	1991	185	ITA	
2011-2012	A2	Acqua Paradiso Busnago	12	ALBERTI VALERIA	Libero	1984	176	ITA	
2011-2012	A2	Acqua Paradiso Busnago	14	BASSO NOEMI	Spiker	1994	190	ITA	
2011-2012	A2	Acqua Paradiso Busnago	17	BRUZZONE SILVIA	Setter	1992	175	ITA	
2011-2012	A2	Acqua Paradiso Busnago	18	SORAIA NEUDIL DOS SANTOS	Spiker	1984	191	BRA	
2011-2012	A2	Assitur Corriere Espresso Soverato	3	DELLA ROSA GIULIA	Setter	1984	186	ITA	
2011-2012	A2	Assitur Corriere Espresso Soverato	4	BOSCACCI LETICIA	Spiker	1985	185	ARG	
2011-2012	A2	Assitur Corriere Espresso Soverato	5	LUSSANA SILVIA	Libero	1988	169	ITA	
2011-2012	A2	Assitur Corriere Espresso Soverato	6	ROTONDO SIMONA	Middleblocker	1983	183	ITA	
2011-2012	A2	Assitur Corriere Espresso Soverato	7	SPACCAROTELLA SANDRA	Libero	1976	170	ITA	
2011-2012	A2	Assitur Corriere Espresso Soverato	8	MAUTINO BRUNA	Spiker	1990	181	ITA	
2011-2012	A2	Assitur Corriere Espresso Soverato	9	NESOVIC IVANA	Spiker	1988	190	SRB	until 01/01/2012
2011-2012	A2	Assitur Corriere Espresso Soverato	10	MONCADA ELISA	Setter	1987	176	ITA	
2011-2012	A2	Assitur Corriere Espresso Soverato	11	ANTONUCCI ILARIA	Spiker	1987	183	ITA	
2011-2012	A2	Assitur Corriere Espresso Soverato	13	IHNATSIUK KSENIYA	Middleblocker	1989	183	ITA	
2011-2012	A2	Assitur Corriere Espresso Soverato	14	DIOMEDE VALERIA	Middleblocker	1980	183	ITA	
2011-2012	A2	Assitur Corriere Espresso Soverato	15	CROZZOLIN ALESSANDRA	Middleblocker	1977	186	ITA	from 16/01/2012
2011-2012	A2	Assitur Corriere Espresso Soverato	17	GLOD JOHN DESIREE GUILLERMINA	Spiker	1982	176	VEN	
2011-2012	A2	Banca Reale Yoyogurt Giaveno	1	MASTRODICASA FEDERICA	Middleblocker	1988	182	ITA	
2011-2012	A2	Banca Reale Yoyogurt Giaveno	3	CESTER VALENTINA	Spiker	1988	186	ITA	
2011-2012	A2	Banca Reale Yoyogurt Giaveno	5	SENKOVA NIKOLA	Spiker	1989	178	CZE	
2011-2012	A2	Banca Reale Yoyogurt Giaveno	7	ANGELELLI ILARIA	Setter	1986	171	ITA	
2011-2012	A2	Banca Reale Yoyogurt Giaveno	8	MOLINENGO MICHELA	Libero	1978	162	ITA	
2011-2012	A2	Banca Reale Yoyogurt Giaveno	9	ARIC? RAMONA	Spiker	1985	186	ITA	
2011-2012	A2	Banca Reale Yoyogurt Giaveno	10	COATTI ALICE	Spiker	1989	178	ITA	
2011-2012	A2	Banca Reale Yoyogurt Giaveno	11	LUCIANI NICOLETTA	Middleblocker	1979	185	ITA	
2011-2012	A2	Banca Reale Yoyogurt Giaveno	12	CORNA STEFANIA	Setter	1990	192	ITA	
2011-2012	A2	Banca Reale Yoyogurt Giaveno	13	VEGLIA TIZIANA	Middleblocker	1992	186	ITA	
2011-2012	A2	Banca Reale Yoyogurt Giaveno	14	BEIER HEIKE	Spiker	1983	185	GER	
2011-2012	A2	Banca Reale Yoyogurt Giaveno	15	CVETANOVIC MARINA	Spiker	1986	188	SLO	
2011-2012	A2	Biancoforno Volley Santa Croce	2	DEMICHELIS ILARIA	Setter	1987	178	ITA	
2011-2012	A2	Biancoforno Volley Santa Croce	3	ROSSO VALERIA	Spiker	1981	182	ITA	
2011-2012	A2	Biancoforno Volley Santa Croce	5	CORJEUTANU MIRELA	Spiker	1977	192	ROM	
2011-2012	A2	Biancoforno Volley Santa Croce	6	RUBERTI SARA	Spiker	1990	186	ITA	
2011-2012	A2	Biancoforno Volley Santa Croce	7	BORIASSI GIADA	Middleblocker	1992	188	ITA	
2011-2012	A2	Biancoforno Volley Santa Croce	8	TANTURLI GIORGIA	Setter	1981	168	ITA	
2011-2012	A2	Biancoforno Volley Santa Croce	9	FILIPOVICS ANITA	Middleblocker	1988	192	HUN	
2011-2012	A2	Biancoforno Volley Santa Croce	10	LANZINI ALESSIA	Libero	1981	165	ITA	
2011-2012	A2	Biancoforno Volley Santa Croce	11	BRUSSA NATALIA GUADALUPE	Spiker	1985	188	ITA	
2011-2012	A2	Biancoforno Volley Santa Croce	12	LIGUORI DEBORAH	Spiker	1989	178	ITA	
2011-2012	A2	Biancoforno Volley Santa Croce	13	BATINA MAJA	Spiker	1989	189	CRO	
2011-2012	A2	Biancoforno Volley Santa Croce	14	CAPONI MANUELA	Middleblocker	1979	186	ITA	from 22/01/2012
2011-2012	A2	Biancoforno Volley Santa Croce	18	ZAMBELLI MARINA	Middleblocker	1990	187	ITA	
2011-2012	A2	Cedat 85 San Vito	2	RADICHEVA ANA	Spiker	1987	180	BUL	from 24/01/2012
2011-2012	A2	Cedat 85 San Vito	2	BROWN EMILY NICOLE	Spiker	1986	188	USA	until 15/01/2012
2011-2012	A2	Cedat 85 San Vito	3	TRAVAGLINI ALESSIA	Middleblocker	1988	192	ITA	
2011-2012	A2	Cedat 85 San Vito	4	DI CECCA MARIANGELA	Spiker	1986	185	ITA	
2011-2012	A2	Cedat 85 San Vito	5	BENSEND ANGELA ELIZABETH	Spiker	1989	185	USA	until 16/01/2012
2011-2012	A2	Cedat 85 San Vito	6	SEGALINA SILVIA	Middleblocker	1990	188	ITA	
2011-2012	A2	Cedat 85 San Vito	7	LO CASCIO ALICE	Spiker	1988	185	ITA	
2011-2012	A2	Cedat 85 San Vito	9	D'AMBROS ELENA	Libero	1992	162	ITA	
2011-2012	A2	Cedat 85 San Vito	10	IZZO CLARA	Setter	1987	174	ITA	
2011-2012	A2	Cedat 85 San Vito	12	CAPUTO GRAZIANA	Spiker	1993	180	ITA	
2011-2012	A2	Cedat 85 San Vito	13	CARBONE IOLE	Middleblocker	1993	182	ITA	
2011-2012	A2	Cedat 85 San Vito	15	KOVACHEVA MARINA	Spiker	1987	187	BUL	from 15/01/2012
2011-2012	A2	Cedat 85 San Vito	16	BENATO MARIAEUGENIA	Libero	1993	164	ITA	
2011-2012	A2	Cedat 85 San Vito	17	DE LELLIS SARA	Setter	1986	181	ITA	
2011-2012	A2	Esse-ti La Nef Loreto	1	MOY ALVARADO MILAGROS ALICIA	Spiker	1975	176	PER	
2011-2012	A2	Esse-ti La Nef Loreto	2	PIERONI ELISA	Spiker	1995	182	ITA	
2011-2012	A2	Esse-ti La Nef Loreto	3	ALIKAJ JONEDA	Spiker	1993	177	ITA	
2011-2012	A2	Esse-ti La Nef Loreto	4	DROZINA ELENA	Setter	1978	181	ITA	
2011-2012	A2	Esse-ti La Nef Loreto	5	CASILLO LUISA	Middleblocker	1988	188	ITA	
2011-2012	A2	Esse-ti La Nef Loreto	7	GIULIODORI SARA	Middleblocker	1983	180	ITA	
2011-2012	A2	Esse-ti La Nef Loreto	8	VALLESE ANTONIETTA	Libero	1983	165	ITA	
2011-2012	A2	Esse-ti La Nef Loreto	9	SANTINI ALICE	Spiker	1984	181	ITA	
2011-2012	A2	Esse-ti La Nef Loreto	10	CAPONE ELEONORA	Libero	1992	168	ITA	
2011-2012	A2	Esse-ti La Nef Loreto	12	GRIZZO ANNA	Spiker	1984	190	ITA	
2011-2012	A2	Esse-ti La Nef Loreto	13	BURAZER MAJA	Spiker	1988	188	CRO	until 12/10/2011
2011-2012	A2	Esse-ti La Nef Loreto	14	CORREIA DO NASCIMENTO ROSANGELA MARIA	Spiker	1972	189	BRA	from 12/10/2011
2011-2012	A2	Esse-ti La Nef Loreto	17	DI IULIO ISABELLA	Setter	1991	175	ITA	
2011-2012	A2	Esse-ti La Nef Loreto	18	FORNARA FEDERICA	Middleblocker	1988	180	ITA	
2011-2012	A2	Icos Crema	1	PAOLINI LAUREN	Middleblocker	1987	192	USA	
2011-2012	A2	Icos Crema	2	BAGGI LAURA	Spiker	1992	190	ITA	
2011-2012	A2	Icos Crema	3	TOGUT ELISA	Spiker	1978	192	ITA	
2011-2012	A2	Icos Crema	4	NICOLINI CECILIA	Setter	1994	181	ITA	
2011-2012	A2	Icos Crema	5	FANZINI CATERINA	Spiker	1985	186	ITA	
2011-2012	A2	Icos Crema	6	CARRARA SARA	Libero	1992	168	ITA	
2011-2012	A2	Icos Crema	7	DEVETAG FRANCESCA	Middleblocker	1986	186	ITA	
2011-2012	A2	Icos Crema	8	SECOLO MANUELA	Spiker	1977	181	ITA	
2011-2012	A2	Icos Crema	9	CAGNINELLI CLAUDIA	Spiker	1990	190	ITA	
2011-2012	A2	Icos Crema	10	MUTTI ELENA	Middleblocker	1983	182	ITA	until 13/01/2012
2011-2012	A2	Icos Crema	11	ROSSETTO CARLA	Libero	1984	168	ITA	from 17/01/2012
2011-2012	A2	Icos Crema	12	PORTALUPI ELENA	Libero	1987	167	ITA	
2011-2012	A2	Icos Crema	15	FRENI SILVIA	Middleblocker	1983	183	ITA	from 22/01/2012
2011-2012	A2	Icos Crema	17	RONDON GIULIA	Setter	1987	190	ITA	
2011-2012	A2	IHF Volley Frosinone	1	MONACELLI CHIARA	Setter	1982	171	ITA	
2011-2012	A2	IHF Volley Frosinone	2	KOHLER JAQUELINE	Spiker	1983	180	BRA	
2011-2012	A2	IHF Volley Frosinone	4	GARCIA MARQUEZ ELENA	Spiker	1979	188	ESP	
2011-2012	A2	IHF Volley Frosinone	5	PALAZZINI MAURA	Middleblocker	1976	186	ITA	
2011-2012	A2	IHF Volley Frosinone	6	SAMMARTANO KARIMA	Libero	1982	175	ITA	
2011-2012	A2	IHF Volley Frosinone	7	ZANIN VALERIA	Setter	1984	175	ITA	
2011-2012	A2	IHF Volley Frosinone	9	KARALYUS EKATERINA	Spiker	1983	182	ITA	
2011-2012	A2	IHF Volley Frosinone	10	RUZZINI JOLE	Libero	1984	162	ITA	
2011-2012	A2	IHF Volley Frosinone	11	MENGHI SARA	Middleblocker	1983	183	ITA	
2011-2012	A2	IHF Volley Frosinone	13	GIGLIO FEDERICA	Spiker	1988	182	ITA	
2011-2012	A2	IHF Volley Frosinone	15	GINANNESCHI DANIELA	Spiker	1978	173	ITA	
2011-2012	A2	IHF Volley Frosinone	17	SPATARO VIRGINIA	Middleblocker	1983	188	ITA	
2011-2012	A2	IHF Volley Frosinone	18	GIOIA CATERINA	Spiker	1992	183	ITA	
2011-2012	A2	Infotel Forli	1	CORIANI SARA	Libero	1995	165	ITA	
2011-2012	A2	Infotel Forli	2	SALVIA VALENTINA	Middleblocker	1990	185	ITA	
2011-2012	A2	Infotel Forli	4	POLI TANIA	Spiker	1978	181	ITA	
2011-2012	A2	Infotel Forli	7	MORETTI JESSICA	Libero	1989	165	ITA	
2011-2012	A2	Infotel Forli	8	SANCHEZ GARIJO DIANA	Spiker	1977	180	ESP	until 22/12/2011
2011-2012	A2	Infotel Forli	9	RITSCHELOVA MARCELA	Middleblocker	1972	191	CZE	until 09/01/2012
2011-2012	A2	Infotel Forli	10	MURI ELISA	Setter	1984	178	ITA	
2011-2012	A2	Infotel Forli	11	CAMARA NASSIRA	Spiker	1983	186	FRA	
2011-2012	A2	Infotel Forli	12	CHELI LISA	Middleblocker	1992	186	ITA	from 14/01/2012
2011-2012	A2	Infotel Forli	13	FERRANTI SIMONA	Middleblocker	1980	185	ITA	
2011-2012	A2	Infotel Forli	16	MURESAN DAIANA GIORGIANA	Spiker	1990	191	ROM	
2011-2012	A2	Infotel Forli	17	BALDINI VALENTINA	Setter	1992	177	ITA	
2011-2012	A2	Lavoro.Doc Pontecagnano	1	VANNI YLENIA	Middleblocker	1984	184	ITA	until 23/01/2012
2011-2012	A2	Lavoro.Doc Pontecagnano	2	NAGY MARIANN	Spiker	1976	190	HUN	from 23/01/2012
2011-2012	A2	Lavoro.Doc Pontecagnano	3	KOSTADINOVA ADRIANA	Spiker	1982	188	ITA	
2011-2012	A2	Lavoro.Doc Pontecagnano	4	GORINI GIADA	Setter	1988	181	ITA	
2011-2012	A2	Lavoro.Doc Pontecagnano	5	FUMAGALLI GIULIA	Middleblocker	1986	185	ITA	
2011-2012	A2	Lavoro.Doc Pontecagnano	6	CACACE ILARIA	Setter	1986	171	ITA	
2011-2012	A2	Lavoro.Doc Pontecagnano	10	ZILIO ISABELLA	Libero	1983	174	ITA	
2011-2012	A2	Lavoro.Doc Pontecagnano	11	ASTARITA GIUSY	Spiker	1988	183	ITA	
2011-2012	A2	Lavoro.Doc Pontecagnano	12	LAURO LUCIANA	Spiker	1989	183	ITA	
2011-2012	A2	Lavoro.Doc Pontecagnano	13	MICCA ANTONELLA	Libero	1982	168	ITA	
2011-2012	A2	Lavoro.Doc Pontecagnano	14	TSEKOVA PETYA LYUBOMIROVA	Spiker	1986	190	BUL	until 23/01/2012
2011-2012	A2	Lavoro.Doc Pontecagnano	15	COLLAR NGUEMA MILAGROS CATALINA	Spiker	1988	187	ESP	
2011-2012	A2	Lavoro.Doc Pontecagnano	18	RICCIARDI MICHELA	Middleblocker	1991	178	ITA	
2011-2012	A2	Montichiari Volley Femminile	2	BRUTTI FABIANA	Middleblocker	1985	182	ITA	
2011-2012	A2	Montichiari Volley Femminile	3	MASINO SERENA	Setter	1983	178	ITA	
2011-2012	A2	Montichiari Volley Femminile	4	RADICHEVA ANA	Spiker	1987	180	BUL	until 23/01/2012
2011-2012	A2	Montichiari Volley Femminile	5	BOSIO MARTINA	Spiker	1993	184	ITA	
2011-2012	A2	Montichiari Volley Femminile	6	KRASTEVA ELITZA	Libero	1982	174	ITA	from 23/01/2012
2011-2012	A2	Montichiari Volley Femminile	7	ZAMPIERI FEDERICA	Middleblocker	1992	188	ITA	
2011-2012	A2	Montichiari Volley Femminile	10	PERCAN SONJA	Spiker	1981	186	CRO	
2011-2012	A2	Montichiari Volley Femminile	11	MARC DIANA RAMONA	Spiker	1979	183	ITA	
2011-2012	A2	Montichiari Volley Femminile	12	CATENA MICHELA	Spiker	1991	191	ITA	
2011-2012	A2	Montichiari Volley Femminile	13	ASSIRELLI FLAVIA	Middleblocker	1990	183	ITA	
2011-2012	A2	Montichiari Volley Femminile	14	ORLANDI ALESSIA	Setter	1988	175	ITA	
2011-2012	A2	Montichiari Volley Femminile	17	MARCONE BENEDETTA	Libero	1993	179	ITA	
2011-2012	A2	Montichiari Volley Femminile	18	MOSCHINI MICHELA	Libero	1993	163	ITA	
2011-2012	A2	Pom? Casalmaggiore	1	LUGLI LARA	Spiker	1980	179	ITA	
2011-2012	A2	Pom? Casalmaggiore	2	PARIS SARA	Libero	1985	165	ITA	
2011-2012	A2	Pom? Casalmaggiore	3	OLIVOTTO ROSSELLA	Middleblocker	1991	184	ITA	
2011-2012	A2	Pom? Casalmaggiore	6	NARDINI DANIELA	Middleblocker	1982	182	ITA	
2011-2012	A2	Pom? Casalmaggiore	7	GIORGI ROSSELLA	Libero	1981	173	ITA	
2011-2012	A2	Pom? Casalmaggiore	9	TOMASEVIC SANJA	Spiker	1980	185	SRB	
2011-2012	A2	Pom? Casalmaggiore	10	TRABUCCHI GLORIA	Setter	1989	175	ITA	
2011-2012	A2	Pom? Casalmaggiore	11	PETRUCCI ALESSANDRA	Setter	1983	184	ITA	
2011-2012	A2	Pom? Casalmaggiore	12	BERTONE FLORIANA	Middleblocker	1992	202	ITA	
2011-2012	A2	Pom? Casalmaggiore	13	ZAGO VALENTINA	Spiker	1990	187	ITA	
2011-2012	A2	Pom? Casalmaggiore	14	KUCEROVA MONIKA	Spiker	1983	185	CZE	
2011-2012	A2	Pom? Casalmaggiore	15	MASOTTI CHIARA	Spiker	1990	180	ITA	
2011-2012	A2	Puntotel Sala Consilina	1	COLARUSSO PAOLA	Spiker	1988	187	ITA	
2011-2012	A2	Puntotel Sala Consilina	3	FRANCO LETIZIA	Spiker	1980	172	ITA	
2011-2012	A2	Puntotel Sala Consilina	5	CAPRIOTTI TATIANA	Setter	1988	180	ITA	until 24/01/2012
2011-2012	A2	Puntotel Sala Consilina	6	GARCIA ZULETA LORENA ALEXANDRA	Middleblocker	1981	192	COL	
2011-2012	A2	Puntotel Sala Consilina	7	VICO GABRIELLA	Spiker	1987	182	ITA	
2011-2012	A2	Puntotel Sala Consilina	8	VINCENTI VIVIANA	Middleblocker	1981	186	ITA	
2011-2012	A2	Puntotel Sala Consilina	9	THAIS DAVID BARBOSA	Spiker	1980	184	BRA	until 16/02/2012
2011-2012	A2	Puntotel Sala Consilina	10	STROBBE MARILYN	Middleblocker	1989	189	ITA	
2011-2012	A2	Puntotel Sala Consilina	11	BOSCOSCURO MARTINA	Libero	1988	165	ITA	
2011-2012	A2	Puntotel Sala Consilina	13	RYNK ALEKSANDRA	Setter	1988	178	ITA	
2011-2012	A2	Puntotel Sala Consilina	15	FARAONE GIORGIA	Libero	1994	168	ITA	
2011-2012	A2	Puntotel Sala Consilina	16	RONCONI PAOLA	Spiker	1979	180	ITA	
2011-2012	A2	Puntotel Sala Consilina	17	ALFIERI VIRGINIA	Setter	1983	185	ITA	from 14/01/2012
2011-2012	A2	Rota Volley Mercato San Severino	1	ENGLE ASHLEY LAUREN	Spiker	1988	192	USA	
2011-2012	A2	Rota Volley Mercato San Severino	2	RUSSO VALENTINA	Middleblocker	1991	188	ITA	
2011-2012	A2	Rota Volley Mercato San Severino	3	FASTELLINI ELEONORA	Spiker	1986	181	ITA	
2011-2012	A2	Rota Volley Mercato San Severino	4	KOUTOUXIDOU NIKOLETTA	Setter	1980	177	GRE	from 11/01/2012
2011-2012	A2	Rota Volley Mercato San Severino	6	KRASTEVA ELITZA	Libero	1982	174	ITA	until 22/01/2012
2011-2012	A2	Rota Volley Mercato San Severino	7	CAPONI MANUELA	Middleblocker	1979	186	ITA	until 21/01/2012
2011-2012	A2	Rota Volley Mercato San Severino	8	MEDAGLIONI MARTA	Libero	1986	160	ITA	
2011-2012	A2	Rota Volley Mercato San Severino	9	LAGHI MARY GRACE	Setter	1986	167	ITA	
2011-2012	A2	Rota Volley Mercato San Severino	10	MORETTI FRANCESCA	Spiker	1985	178	ITA	
2011-2012	A2	Rota Volley Mercato San Severino	11	JALINE PRADO DE OLIVEIRA	Spiker	1979	190	BRA	until 11/01/2012
2011-2012	A2	Rota Volley Mercato San Severino	12	PASCUCCI GIULIA	Spiker	1993	188	ITA	
2011-2012	A2	Rota Volley Mercato San Severino	17	REPICE VITTORIA	Middleblocker	1986	185	ITA	
2011-2012	A2	Terre Verdiane Servizi Italia Fontanellato	1	VALPIANI BEATRICE	Setter	1986	174	ITA	
2011-2012	A2	Terre Verdiane Servizi Italia Fontanellato	3	RANIA VALENTINA	Spiker	1985	183	ITA	
2011-2012	A2	Terre Verdiane Servizi Italia Fontanellato	4	SESTINI DILETTA	Middleblocker	1987	180	ITA	
2011-2012	A2	Terre Verdiane Servizi Italia Fontanellato	7	LA ROSA SIMONA	Middleblocker	1992	188	ITA	
2011-2012	A2	Terre Verdiane Servizi Italia Fontanellato	8	DO CARMO BRAGA LUCIANA	Spiker	1979	185	BRA	
2011-2012	A2	Terre Verdiane Servizi Italia Fontanellato	9	MARTINI ELISA	Libero	1992	167	ITA	
