Season,Division,Championship,Phase,Day,Game,Match No,DMY,Time,Spettatori,Incasso,Casa/Ospite,Team,Club,P.No,Name,Libero,C,Voto,Set1,Set2,Set3,Set4,Set5,Point_Tot,Point_BP,Point_VP,Service_N,Service_Err,Service_Pt,Reception_N,Reception_Err,Reception_Pos%,Reception_Prf%,Spike_N,Spike_Err,Spike_Blocked,Spike_Pt,Spike_Pt%,Block_Invasion,Block_Pt,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,C,Allianz Milano ,Milano,14,Kreling Fernando,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,C,Allianz Milano ,Milano,15,Otsuka Tatsunori,-,-,-,2,2,6 ,6,2,12,4,-5,17,3,-,26,4,0.38 ,0.23 ,25,2,3,11,0.44 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,C,Allianz Milano ,Milano,16,Di Martino Gabriele,-,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,C,Allianz Milano ,Milano,18,Caneschi Edoardo,-,-,-,6,6,4 ,4,6,7,5,-2,20,6,3,-,-,-,-,3,-,-,2,0.67 ,-,2,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,O,Valsa Group Modena ,Modena,3,Massari Jacopo,-,-,-,-,*,*,*,*,1,1,-1,5,1,-,2,1,-,-,2,-,-,1,0.50 ,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,O,Valsa Group Modena ,Modena,4,Perry Luke,L,-,-,*,*,*,*,*,-,-,-3,-,-,-,29,3,0.66 ,0.34 ,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,O,Valsa Group Modena ,Modena,5,Mati Pardo,-,-,-,1,*,1 ,6,3,9,5,1,15,2,-,3,-,0.33 ,-,10,1,1,8,0.80 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,O,Valsa Group Modena ,Modena,6,Sanguinetti Giovanni,-,-,-,4,6,4 ,3,6,13,3,2,22,5,-,2,-,-,-,15,2,-,9,0.60 ,-,4,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,O,Valsa Group Modena ,Modena,7,Federici Filippo,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,O,Valsa Group Modena ,Modena,8,Tizi-Oualou Amir,-,-,-,5,4,5 ,4,1,4,2,-7,19,5,1,1,-,-,-,5,-,-,1,0.20 ,-,2,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,O,Valsa Group Modena ,Modena,9,Davyskiba Vlad,-,-,-,6,2,6 ,5,2,26,8,8,16,5,-,41,3,0.54 ,0.24 ,41,3,5,22,0.54 ,-,4,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,O,Valsa Group Modena ,Modena,10,Tauletta Luca,-,-,-,*,-,-,-,-,-,-,-1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,O,Valsa Group Modena ,Modena,11,Porro Luca,-,-,-,3,5,3 ,2,5,20,7,4,18,4,1,22,3,0.36 ,0.09 ,36,2,1,18,0.50 ,-,1,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,O,Valsa Group Modena ,Modena,17,Anzani Simone,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,O,Valsa Group Modena ,Modena,19,Buchegger Paul,-,-,-,2,1,2 ,1,4,17,8,8,17,6,2,-,-,-,-,22,-,2,13,0.59 ,-,2,,,,,,,,
2025/2026,SuperLega,Regular_Season,1st,1,,3,20/10/2025 ,20:00 ,2.913 ,€ 18.130 ,O,Valsa Group Modena ,Modena,20,Bento Arthur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
