Division,Season,Team,Club,No,Player,Role,Nationality,Height,Birth year,,,
A1,2025/2026,Wash4green Monviso Volley,Pallavolo Pinerolo,21,Anna Davyskiba,Schiacciatrice,BLR,188,2000,,,
A1,2025/2026,Wash4green Monviso Volley,Pallavolo Pinerolo,23,Elza Reknere,Palleggiatrice,LAT,178,2002,,,
A2 GroupA,2025/2026,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,1,Regla Flavia Martinez Ortiz,Schiacciatrice,CUB,180,1999,,,
A2 GroupA,2025/2026,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,3,Nicole Gamba,Libero,ITA,171,1998,,,
A2 GroupA,2025/2026,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,5,Francesca Dell'Orto,Palleggiatrice,ITA,180,2003,,,
A2 GroupA,2025/2026,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,6,Margherita Giani,Centrale,ITA,180,2001,,,
A2 GroupA,2025/2026,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,7,Nicole Busetti,Libero,ITA,173,2005,,,
A2 GroupA,2025/2026,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,8,Carolina Fumagalli,Schiacciatrice,ITA,180,2004,,,
A2 GroupA,2025/2026,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,9,Gaia Dell'Amico,Palleggiatrice,ITA,174,2000,,,
A2 GroupA,2025/2026,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,10,Lena Grosse Scharmann,Opposto,GER,187,1998,,,
A2 GroupA,2025/2026,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,11,Valeria Pizzolato,Centrale,ITA,182,1999,,,
A2 GroupA,2025/2026,C.B.L. Costa Volpino,Pallavolo C.B.L Costa Volpino,12,Federica Favaretto,Opposto,ITA,185,2002,,,
